imgPr_cal_t,reduce_right_lines_cal_t,reduce_left_lines_cal_t,left_right_cal_t,cl_cal_t,display_t,Lane_cl_t
"1.8494889736175537","0.020771026611328125","0.0","0.023763179779052734","0.0","no-display-screen","2.020857810974121"
"0.0070648193359375","0.0","0.0","0.0019385814666748047","0.0","no-display-screen","0.018929481506347656"
"0.007977962493896484","0.0010428428649902344","0.0","0.0030362606048583984","0.0","0.23301005363464355","0.2599508762359619"
"0.01596975326538086","0.0009968280792236328","0.0","0.006340742111206055","0.0","no-display-screen","0.04748392105102539"
"0.00568389892578125","0.0","0.0","0.000997304916381836","0.0","no-display-screen","0.008547782897949219"
"0.008942127227783203","0.0","smaller than MIN_SIZE_REDUCE","0.0016355514526367188","0.0","0.08700084686279297","0.12586164474487305"
"0.015170574188232422","0.0009953975677490234","0.0","0.005990505218505859","0.0","no-display-screen","0.04001307487487793"
"0.00750279426574707","smaller than MIN_SIZE_REDUCE","0.0","0.0009829998016357422","0.0","no-display-screen","0.010838985443115234"
"0.008000850677490234","0.0","0.0","0.0009970664978027344","0.0","0.12836527824401855","0.16159367561340332"
"0.013024568557739258","0.0","0.0","0.0009968280792236328","0.0","no-display-screen","0.034058570861816406"
"0.00777435302734375","0.0009968280792236328","0.0","0.0009968280792236328","0.0","no-display-screen","0.011963129043579102"
"0.008526802062988281","0.0010991096496582031","0.0","0.0040950775146484375","0.0","0.08374476432800293","0.11691665649414062"
"0.014200210571289062","0.0003209114074707031","0.0","0.0029289722442626953","0.0","no-display-screen","0.057080745697021484"
"0.006619930267333984","0.0","0.0","0.0030460357666015625","0.0","no-display-screen","0.010663747787475586"
"0.009914875030517578","0.0010008811950683594","0.0","0.002853870391845703","0.0","0.13943219184875488","0.17711639404296875"
"0.016866683959960938","0.0002741813659667969","0.0","0.005950927734375","0.000997781753540039","no-display-screen","0.03923988342285156"
"0.0063817501068115234","0.0","0.0","0.0014994144439697266","0.0","no-display-screen","0.008873224258422852"
"0.008011341094970703","0.0","0.000993967056274414","0.003988742828369141","0.0","0.10920548439025879","0.14632439613342285"
"0.014890193939208984","0.0","0.0009002685546875","0.007790088653564453","0.0","no-display-screen","0.04895663261413574"
"0.006487369537353516","0.0","0.0","0.001995563507080078","0.0","no-display-screen","0.009412050247192383"
"0.008279085159301758","0.0010001659393310547","0.0","0.0031135082244873047","0.0","0.09020805358886719","0.12666106224060059"
"0.016574382781982422","0.0","0.0","0.006198406219482422","0.0","no-display-screen","0.047710418701171875"
"0.006912946701049805","0.0","0.0007429122924804688","0.0026831626892089844","0.0","no-display-screen","0.010741710662841797"
"0.008489370346069336","0.001020669937133789","0.0","0.0030150413513183594","0.0","0.1391608715057373","0.17751145362854004"
"0.019960641860961914","smaller than MIN_SIZE_REDUCE","0.0003952980041503906","0.0033860206604003906","0.0","no-display-screen","0.04249429702758789"
"0.005982875823974609","0.0","0.0","0.002052783966064453","0.0","no-display-screen","0.009033918380737305"
"0.009229660034179688","0.0","0.0","0.004759073257446289","8.0108642578125e-05","0.10412740707397461","0.14345431327819824"
"0.016945600509643555","0.0","0.0008914470672607422","0.005730867385864258","0.0003924369812011719","no-display-screen","0.04881620407104492"
"0.007880210876464844","0.0","0.0","0.0011510848999023438","0.0","no-display-screen","0.012100696563720703"
"0.009643793106079102","0.0","0.000997304916381836","0.0029914379119873047","0.00018644332885742188","0.1334385871887207","0.15545392036437988"
"0.01761031150817871","smaller than MIN_SIZE_REDUCE","0.0","0.005515336990356445","0.0009446144104003906","no-display-screen","0.08575034141540527"
"0.0061609745025634766","0.0","0.0","0.0009953975677490234","0.0","no-display-screen","0.010138273239135742"
"0.009009361267089844","0.0","0.0","0.002996206283569336","0.0009975433349609375","0.09685206413269043","0.1358187198638916"
"0.01668095588684082","0.0009551048278808594","0.0","0.004988908767700195","0.0","no-display-screen","0.04183626174926758"
"0.006907224655151367","0.0","0.0","0.0025141239166259766","0.0","no-display-screen","0.01049041748046875"
"0.008408784866333008","0.0009996891021728516","0.0","0.0038690567016601562","0.00046634674072265625","0.09137225151062012","0.12874531745910645"
"0.01645374298095703","0.0","0.0010726451873779297","0.007476329803466797","0.0","no-display-screen","0.04375624656677246"
"0.0069811344146728516","0.0","0.0005180835723876953","0.001961231231689453","0.00026607513427734375","no-display-screen","0.009656906127929688"
"0.008120298385620117","0.0","0.0006778240203857422","0.002991914749145508","0.0","0.1295459270477295","0.16457843780517578"
"0.01668238639831543","0.0009453296661376953","0.0","0.00796651840209961","0.0","no-display-screen","0.05821681022644043"
"0.006982564926147461","4.6253204345703125e-05","0.0","0.0015933513641357422","0.0","no-display-screen","0.010573148727416992"
"0.00839090347290039","0.0","0.0","0.0029904842376708984","0.0","0.09111881256103516","0.12978720664978027"
"0.022353410720825195","0.0010924339294433594","0.0","0.0042150020599365234","0.0","no-display-screen","0.05121588706970215"
"0.008181571960449219","0.0003113746643066406","0.0","0.001970052719116211","0.0","no-display-screen","0.01114964485168457"
"0.00889730453491211","0.001001119613647461","smaller than MIN_SIZE_REDUCE","0.00274658203125","0.0","0.1248018741607666","0.17327642440795898"
"0.015697479248046875","0.0005841255187988281","0.0","0.004724025726318359","0.0","no-display-screen","0.22447800636291504"
"0.014774084091186523","0.0","0.0","0.001967906951904297","0.0","no-display-screen","0.0757148265838623"
"0.032137393951416016","0.0009982585906982422","0.0016582012176513672","0.005991697311401367","0.0011985301971435547","0.2651071548461914","0.328535795211792"
"0.019138574600219727","0.0","0.0009586811065673828","0.0072290897369384766","0.0002281665802001953","no-display-screen","0.31038689613342285"
"0.013422012329101562","0.0011436939239501953","0.0","0.0055162906646728516","0.0","no-display-screen","0.08989810943603516"
"0.02509331703186035","0.0009930133819580078","0.0005319118499755859","0.004954338073730469","0.0005860328674316406","0.32294321060180664","0.44690680503845215"
"0.0170896053314209","0.0","0.0","0.004152059555053711","0.0011684894561767578","no-display-screen","0.11237311363220215"
"0.006501197814941406","0.0","0.0","0.0015554428100585938","0.0","no-display-screen","0.009820222854614258"
"0.009455204010009766","smaller than MIN_SIZE_REDUCE","0.0","0.003072023391723633","0.0010008811950683594","0.2583479881286621","0.31972813606262207"
"0.017171144485473633","0.0005283355712890625","0.0009877681732177734","0.008042573928833008","0.00024318695068359375","no-display-screen","0.31023454666137695"
"0.015079498291015625","0.0","0.0","0.006609678268432617","0.0","no-display-screen","0.15697503089904785"
"0.016439437866210938","0.0001304149627685547","0.0","0.01069498062133789","0.0010075569152832031","0.27903199195861816","0.34043192863464355"
"0.018789052963256836","0.0","0.001005411148071289","0.00756072998046875","0.0002682209014892578","no-display-screen","0.30301880836486816"
"0.015939712524414062","smaller than MIN_SIZE_REDUCE","0.000993967056274414","0.0020475387573242188","0.0","no-display-screen","0.07036352157592773"
"0.028496265411376953","0.0005538463592529297","0.0","0.011723756790161133","0.000972747802734375","0.36772799491882324","0.49375152587890625"
"0.016942739486694336","0.0","0.0009033679962158203","0.006300687789916992","0.0","no-display-screen","0.07520651817321777"
"0.013083457946777344","smaller than MIN_SIZE_REDUCE","0.0","0.004081249237060547","0.0","no-display-screen","0.02080702781677246"
"0.018193483352661133","0.0","0.0","0.003134489059448242","0.0009965896606445312","0.17413616180419922","0.2113630771636963"
"0.022356271743774414","0.0","0.0009911060333251953","0.005838871002197266","0.0","no-display-screen","0.07174205780029297"
"0.006123065948486328","smaller than MIN_SIZE_REDUCE","0.0","0.0009963512420654297","0.0","no-display-screen","0.008579015731811523"
"0.008973836898803711","0.0","0.0008904933929443359","0.0029926300048828125","0.0","0.1023094654083252","0.13826870918273926"
"0.01893138885498047","0.0009644031524658203","0.0","0.00398707389831543","0.0","no-display-screen","0.03136873245239258"
"0.006235599517822266","smaller than MIN_SIZE_REDUCE","0.0","0.0009982585906982422","0.0","no-display-screen","0.008263826370239258"
"0.00810098648071289","0.0","0.0","0.003761768341064453","0.0","0.12700510025024414","0.16217398643493652"
"0.018633604049682617","0.0010528564453125","0.0","0.00603938102722168","0.001003265380859375","no-display-screen","0.03962206840515137"
"0.0060045719146728516","0.0","0.0011434555053710938","0.002117633819580078","0.0","no-display-screen","0.00910043716430664"
"0.008953094482421875","0.0009982585906982422","0.00017786026000976562","0.003171205520629883","0.0","0.0988929271697998","0.13783931732177734"
"0.017722129821777344","smaller than MIN_SIZE_REDUCE","0.0","0.0039157867431640625","0.0","no-display-screen","0.04291558265686035"
"0.005472660064697266","smaller than MIN_SIZE_REDUCE","0.0","0.0011305809020996094","0.0008652210235595703","no-display-screen","0.008593082427978516"
"0.008494138717651367","0.0005309581756591797","0.0","0.002509593963623047","0.0005202293395996094","0.14017224311828613","0.17748498916625977"
"0.021943092346191406","smaller than MIN_SIZE_REDUCE","smaller than MIN_SIZE_REDUCE","0.00299072265625","0.00057220458984375","no-display-screen","0.033054351806640625"
"0.007027864456176758","smaller than MIN_SIZE_REDUCE","0.0","0.001489400863647461","0.0008842945098876953","no-display-screen","0.010401725769042969"
"0.009210348129272461","0.0","0.0","0.004103899002075195","0.0","0.0847022533416748","0.11888265609741211"
"0.01659846305847168","smaller than MIN_SIZE_REDUCE","smaller than MIN_SIZE_REDUCE","0.0020580291748046875","0.0009882450103759766","no-display-screen","0.04589700698852539"
"0.00771784782409668","0.0","0.0005402565002441406","0.0021505355834960938","0.0","no-display-screen","0.010747671127319336"
"0.006611347198486328","0.0011439323425292969","0.0","0.0031905174255371094","0.0","0.09007716178894043","0.12246322631835938"
"0.016893625259399414","0.0","0.0010652542114257812","0.006562471389770508","0.000553131103515625","no-display-screen","0.04129648208618164"
"0.007467031478881836","0.0","0.0","0.0016443729400634766","0.0","no-display-screen","0.009772777557373047"
"0.007497072219848633","smaller than MIN_SIZE_REDUCE","0.0","0.001989126205444336","0.0","0.10116457939147949","0.13402462005615234"
"0.018558740615844727","0.0005383491516113281","0.0","0.005275726318359375","0.0","no-display-screen","0.056546926498413086"
"0.013640403747558594","0.0","0.0","0.0008873939514160156","0.0009968280792236328","no-display-screen","0.035367488861083984"
"0.018239259719848633","0.0009865760803222656","0.0010077953338623047","0.004912137985229492","0.001995563507080078","0.2783205509185791","0.5867650508880615"
