speed,speed_cal_t,position,target_position,angle,angle_cal_t,PID_cal_t
"None","3.1699400413034384","5.13","0.06","0.01","0.07091951370239258"
"None","3.1699124656543805","7.14","0.11","0.01","0.0052487850189208984"
"30","0.02003192901611328","3.1698652476971234","7.18","0.11","0.01","0.023072004318237305"
"30","0.0","3.1698232452475557","7.15","0.11","0.01","0.00299072265625"
"30","0.0012826919555664062","3.1697854108117642","7.16","0.11","0.01","0.004266262054443359"
"30","0.0011157989501953125","3.169751399842052","7.24","0.11","0.01","0.0032074451446533203"
"30","0.0009975433349609375","3.1697209222784326","7.18","0.11","0.01","0.0048406124114990234"
"30","0.000997304916381836","3.1696936804664513","7.19","0.11","0.01","0.0031616687774658203"
"30","0.0019941329956054688","3.1696693859351144","7.19","0.11","0.01","0.0050008296966552734"
"30","0.0020012855529785156","3.1698546301465993","7.71","0.12","0.01","0.0035467147827148438"
"30","0.003179788589477539","3.1700802771053898","7.28","0.11","0.01","0.006067991256713867"
"30","0.002001523971557617","3.1705226814399325","7.15","0.11","0.01","0.005095481872558594"
"30","0.0010166168212890625","3.1709650594035272","7.15","0.11","0.01","0.003973960876464844"
"30","0.0029609203338623047","3.171614954932924","7.18","0.11","0.01","0.006032228469848633"
"30","0.0027594566345214844","3.172457843656221","7.04","0.1","0.01","0.010462284088134766"
"30","0.001104593276977539","3.1734721952611684","7.19","0.11","0.01","0.004375457763671875"
"30","0.003534555435180664","3.174589805091016","7.14","0.11","0.01","0.010993003845214844"
"30","0.008668899536132812","3.17581815094762","7.36","0.11","0.01","0.01933002471923828"
"30","0.0027074813842773438","3.1771596865116005","7.07","0.1","0.01","0.012293338775634766"
"30","0.0010385513305664062","3.178630426652719","7.11","0.1","0.01","0.005628347396850586"
"30","0.001998424530029297","3.1802023938739596","7.17","0.11","0.01","0.005988597869873047"
"30","0.0019979476928710938","3.181854053301766","7.17","0.11","0.01","0.004045963287353516"
"30","0.0015079975128173828","3.183614861287224","7.22","0.11","0.01","0.004418373107910156"
"30","0.0011425018310546875","3.185494151070535","7.14","0.1","0.01","0.0040967464447021484"
"30","0.0019190311431884766","3.1875076194074716","7.14","0.1","0.01","0.00491786003112793"
"30","0.0009884834289550781","3.189622435551744","7.17","0.11","0.01","0.0039920806884765625"
"30","0.001993894577026367","3.191813736751887","7.14","0.1","0.01","0.005463123321533203"
"30","0.0019087791442871094","3.194127102103807","7.55","0.11","0.01","0.004549980163574219"
"30","0.0041806697845458984","3.196525096939452","7.12","0.1","0.01","0.006882905960083008"
"30","0.010982513427734375","3.199048887942379","7.11","0.1","0.01","0.017023086547851562"
"30","0.005933523178100586","3.201672167614355","7.22","0.11","0.01","0.008316755294799805"
"30","0.005222797393798828","3.2043711187762445","7.24","0.11","0.01","0.008042335510253906"
"30","0.0015082359313964844","3.207179438966732","7.08","0.1","0.01","0.0035028457641601562"
"30","0.0020225048065185547","3.2101235898345397","7.24","0.11","0.01","0.00401759147644043"
"30","0.0019986629486083984","3.2131532468429835","7.13","0.1","0.01","0.005103349685668945"
"30","0.0009930133819580078","3.2163090775095795","7.34","0.11","0.01","0.0030133724212646484"
"30","0.0015201568603515625","3.2195464786073513","7.09","0.1","0.01","0.0035338401794433594"
"30","0.0011136531829833984","3.2229106584926286","7.17","0.1","0.01","0.0030515193939208984"
"30","0.0010008811950683594","3.2263733393385765","7.26","0.11","0.01","0.0019965171813964844"
"30","0.0009984970092773438","3.2299099278403354","7.17","0.1","0.01","0.0019941329956054688"
"30","0.0013475418090820312","3.2335755804280293","7.37","0.11","0.01","0.0033309459686279297"
"30","0.0010001659393310547","3.2373280140376894","7.22","0.11","0.01","0.003594636917114258"
"30","0.002254962921142578","3.241199224254203","7.13","0.1","0.01","0.004313945770263672"
"30","0.0009696483612060547","3.245215809504482","7.15","0.1","0.01","0.0019643306732177734"
"30","0.004523754119873047","3.249337640636667","7.61","0.11","0.01","0.006517648696899414"
"30","0.002000570297241211","3.253535563003781","7.2","0.1","0.01","0.007985353469848633"
"30","0.0009989738464355469","3.2578673778381626","7.16","0.1","0.01","0.007077932357788086"
"30","0.0018024444580078125","3.262305669349541","7.21","0.1","0.01","0.004782199859619141"
"30","0.0065305233001708984","3.2668415608461885","7.2","0.1","0.01","0.008655071258544922"
"30","0.001993417739868164","3.271474517250021","7.23","0.11","0.01","0.003989219665527344"
"30","0.0032355785369873047","3.276191771209303","7.11","0.1","0.01","0.008806705474853516"
"30","0.001985788345336914","3.2810578067967304","7.21","0.1","0.01","0.0069730281829833984"
"30","0.0009968280792236328","3.286042867417851","5.2","0.06","0.01","0.003011465072631836"
"30","0.0005121231079101562","3.291196789556679","5.21","0.06","0.01","0.0025472640991210938"
"30","0.0010180473327636719","3.2963288368661603","5.2","0.06","0.01","0.0030155181884765625"
"30","0.001994609832763672","3.3013850440558787","5.22","0.06","0.01","0.005094766616821289"
"30","0.003010988235473633","3.3063700631695974","5.15","0.05","0.01","0.0050084590911865234"
"30","0.001087188720703125","3.3113212973304544","5.06","0.05","0.01","0.003101348876953125"
"30","0.0019941329956054688","3.316210684568551","5.22","0.06","0.01","0.003990888595581055"
"30","0.003987550735473633","3.3210232928603105","5.2","0.06","0.01","0.007982015609741211"
"30","0.0023047924041748047","3.3258193724895526","5.21","0.06","0.01","0.0053637027740478516"
"30","0.000993967056274414","3.330625660630867","4.89","0.05","0.01","0.002489805221557617"
"30","0.0035054683685302734","3.3354671374964737","5.17","0.05","0.01","0.006445884704589844"
